season,bowler,matches,over,runs,wickets,Econ,Avg
2008,Sohail Tanvir,11,42,266,22.0,6.41,12.091
2008,SK Warne,15,52,404,19.0,7.93,21.263
2008,S Sreesanth,15,52,442,19.0,8.76,23.263
2008,MS Gony,16,60,443,17.0,7.46,26.059
2008,SR Watson,15,55,383,17.0,6.83,22.529
2008,PP Chawla,15,47,389,17.0,9.66,22.882
2008,JA Morkel,13,48,399,17.0,8.53,23.471
2008,VY Mahesh,11,43,370,16.0,8.67,23.125
2008,IK Pathan,14,54,350,15.0,6.48,23.333
2008,RP Singh,14,52,442,15.0,8.3,29.467
2009,RP Singh,16,61,417,23.0,6.92,18.13
2009,A Kumble,16,60,347,21.0,5.89,16.524
2009,A Nehra,13,51,346,19.0,6.71,18.211
2009,SL Malinga,13,51,312,18.0,6.07,17.333
2009,PP Ojha,15,54,348,18.0,6.47,19.333
2009,IK Pathan,14,51,390,17.0,7.78,22.941
2009,MM Patel,11,35,241,16.0,7.03,15.062
2009,PJ Sangwan,13,47,360,15.0,7.89,24.0
2009,DP Nannes,13,50,372,15.0,7.55,24.8
2009,M Muralitharan,13,50,261,14.0,5.26,18.643
2010,PP Ojha,16,59,429,21.0,7.5,20.429
2010,A Kumble,16,64,407,17.0,6.36,23.941
2010,A Mishra,14,53,363,17.0,6.88,21.353
2010,Harbhajan Singh,14,54,377,17.0,6.96,22.176
2010,R Vinay Kumar,14,47,396,16.0,8.59,24.75
2010,M Muralitharan,13,49,339,16.0,7.1,21.188
2010,DW Steyn,15,59,406,15.0,6.83,27.067
2010,SL Malinga,13,50,344,15.0,7.04,22.933
2010,KA Pollard,12,37,274,15.0,8.0,18.267
2010,IK Pathan,14,48,426,15.0,9.27,28.4
2011,SL Malinga,16,64,375,28.0,5.86,13.393
2011,MM Patel,15,55,358,22.0,6.39,16.273
2011,S Aravind,13,46,368,21.0,8.22,17.524
2011,R Ashwin,16,63,388,20.0,6.12,19.4
2011,A Mishra,14,54,358,19.0,6.73,18.842
2011,DE Bollinger,13,47,329,17.0,6.97,19.353
2011,RJ Harris,13,47,382,16.0,8.03,23.875
2011,R Sharma,14,50,273,16.0,5.39,17.062
2011,PP Chawla,12,42,336,16.0,8.33,21.0
2011,Iqbal Abdulla,15,50,305,16.0,6.18,19.062
2012,M Morkel,16,63,453,25.0,7.17,18.12
2012,SP Narine,15,60,324,24.0,5.4,13.5
2012,SL Malinga,14,56,350,22.0,6.25,15.909
2012,R Vinay Kumar,14,56,480,19.0,8.57,25.263
2012,UT Yadav,17,61,453,19.0,7.31,23.842
2012,DW Steyn,12,47,285,18.0,6.15,15.833
2012,P Awana,12,47,372,17.0,8.03,21.882
2012,Z Khan,15,60,453,17.0,7.55,26.647
2012,KA Pollard,14,44,350,16.0,8.73,21.875
2012,PP Chawla,16,57,419,16.0,7.65,26.188
2013,DJ Bravo,18,63,497,32.0,7.86,15.531
2013,JP Faulkner,16,64,427,28.0,6.67,15.25
2013,Harbhajan Singh,19,70,456,24.0,6.82,19.0
2013,MG Johnson,17,64,459,24.0,7.17,19.125
2013,R Vinay Kumar,17,62,513,23.0,8.87,22.304
2013,SP Narine,16,64,350,22.0,5.47,15.909
2013,A Mishra,17,62,394,21.0,6.7,18.762
2013,SL Malinga,17,66,468,20.0,7.02,23.4
2013,MM Sharma,15,51,326,20.0,6.79,16.3
2013,DW Steyn,18,69,399,19.0,6.17,21.0
2014,MM Sharma,16,54,452,23.0,8.25,19.652
2014,SP Narine,17,65,418,21.0,6.63,19.905
2014,B Kumar,14,55,354,20.0,6.45,17.7
2014,RA Jadeja,16,55,443,19.0,8.32,23.316
2014,Sandeep Sharma,11,41,354,18.0,8.68,19.667
2014,MG Johnson,14,55,444,17.0,8.12,26.118
2014,AR Patel,17,66,405,17.0,6.12,23.824
2014,SL Malinga,10,40,258,16.0,6.45,16.125
2014,R Ashwin,16,60,437,16.0,7.47,27.312
2014,VR Aaron,10,37,299,16.0,8.13,18.688
2015,DJ Bravo,16,54,426,26.0,8.05,16.385
2015,SL Malinga,15,60,444,24.0,7.4,18.5
2015,YS Chahal,14,48,415,23.0,9.16,18.043
2015,A Nehra,16,62,449,22.0,7.34,20.409
2015,MA Starc,12,43,291,20.0,6.97,14.55
2015,Harbhajan Singh,15,57,446,18.0,8.03,24.778
2015,MJ McClenaghan,12,47,386,18.0,8.36,21.444
2015,B Kumar,14,52,407,18.0,8.2,22.611
2015,HV Patel,14,44,328,17.0,7.82,19.294
2015,D Wiese,13,43,353,16.0,8.12,22.062
2016,B Kumar,17,66,490,23.0,7.4,21.304
2016,YS Chahal,13,50,401,21.0,8.02,19.095
2016,SR Watson,16,57,485,20.0,8.22,24.25
2016,DS Kulkarni,14,49,364,18.0,7.76,20.222
2016,Mustafizur Rahman,16,61,421,17.0,6.99,24.765
2016,DJ Bravo,15,56,494,17.0,8.86,29.059
2016,MJ McClenaghan,14,54,436,17.0,8.09,25.647
2016,JJ Bumrah,14,52,406,15.0,7.77,27.067
2016,Sandeep Sharma,14,50,366,15.0,7.32,24.4
2016,AD Russell,12,37,291,15.0,8.48,19.4
