"match","date","team_1","team_2","season","venue","toss_winner","toss_decision","is_superover","is_result","is_duckworthlewis","win_type","won_by","winner","mom","first_umpire","second_empire","city","host_country"
"1","18-Apr-08","Royal Challengers Bangalore","Kolkata Knight Riders","1","M Chinnaswamy Stadium","Royal Challengers Bangalore","field","0","1","0","by runs","140","Kolkata Knight Riders","BB McCullum","Asad Rauf","RE Koertzen","Bangalore","India"
"2","19-Apr-08","Kings XI Punjab","Chennai Super Kings","1","Punjab Cricket Association Stadium, Mohali","Chennai Super Kings","bat","0","1","0","by runs","33","Chennai Super Kings","MEK Hussey","MR Benson","SL Shastri","Chandigarh","India"
"3","19-Apr-08","Delhi Daredevils","Rajasthan Royals","1","Feroz Shah Kotla","Rajasthan Royals","bat","0","1","0","by wickets","9","Delhi Daredevils","MF Maharoof","Aleem Dar","GA Pratapkumar","Delhi","India"
"4","20-Apr-08","Mumbai Indians","Royal Challengers Bangalore","1","Wankhede Stadium","Mumbai Indians","bat","0","1","0","by wickets","5","Royal Challengers Bangalore","MV Boucher","SJ Davis","DJ Harper","Mumbai","India"
"5","20-Apr-08","Kolkata Knight Riders","Deccan Chargers","1","Eden Gardens","Deccan Chargers","bat","0","1","0","by wickets","5","Kolkata Knight Riders","DJ Hussey","BF Bowden","K Hariharan","Kolkata","India"
"6","21-Apr-08","Rajasthan Royals","Kings XI Punjab","1","Sawai Mansingh Stadium","Kings XI Punjab","bat","0","1","0","by wickets","6","Rajasthan Royals","SR Watson","Aleem Dar","RB Tiffin","Jaipur","India"
"7","22-Apr-08","Deccan Chargers","Delhi Daredevils","1","Rajiv Gandhi International Stadium, Uppal","Deccan Chargers","bat","0","1","0","by wickets","9","Delhi Daredevils","V Sehwag","IL Howell","AM Saheba","Hyderabad","India"
"8","23-Apr-08","Chennai Super Kings","Mumbai Indians","1","MA Chidambaram Stadium, Chepauk","Mumbai Indians","field","0","1","0","by runs","6","Chennai Super Kings","ML Hayden","DJ Harper","GA Pratapkumar","Chennai","India"
"9","24-Apr-08","Deccan Chargers","Rajasthan Royals","1","Rajiv Gandhi International Stadium, Uppal","Rajasthan Royals","field","0","1","0","by wickets","3","Rajasthan Royals","YK Pathan","Asad Rauf","MR Benson","Hyderabad","India"
"10","25-Apr-08","Kings XI Punjab","Mumbai Indians","1","Punjab Cricket Association Stadium, Mohali","Mumbai Indians","field","0","1","0","by runs","66","Kings XI Punjab","KC Sangakkara","Aleem Dar","AM Saheba","Chandigarh","India"
