season,team,matches,wins,losses,pts,toss_wins,toss_win_bat_first,toss_win_field_first,bat_first_win_match,field_first_win_match
2008,Rajasthan Royals,16,13,3,26,11,27.27,72.73,30.77,69.23
2008,Kings XI Punjab,15,10,5,20,8,50.0,50.0,40.0,60.0
2008,Chennai Super Kings,16,9,7,18,5,80.0,20.0,66.67,33.33
2008,Delhi Daredevils,14,7,7,14,6,33.33,66.67,42.86,57.14
2008,Mumbai Indians,14,7,7,14,8,12.5,87.5,14.29,85.71
2008,Kolkata Knight Riders,13,6,7,12,6,100.0,0.0,83.33,16.67
2008,Royal Challengers Bangalore,14,4,10,8,5,40.0,60.0,75.0,25.0
2008,Deccan Chargers,14,2,12,4,9,44.44,55.56,0.0,100.0
2009,Delhi Daredevils,15,10,5,20,9,44.44,55.56,50.0,50.0
2009,Deccan Chargers,16,9,7,18,10,50.0,50.0,55.56,44.44
2009,Royal Challengers Bangalore,16,9,7,18,8,62.5,37.5,77.78,22.22
2009,Chennai Super Kings,14,8,6,16,7,85.71,14.29,75.0,25.0
2009,Kings XI Punjab,14,7,7,14,6,50.0,50.0,57.14,42.86
2009,Rajasthan Royals,13,6,7,12,4,50.0,50.0,50.0,50.0
2009,Mumbai Indians,13,5,8,10,6,100.0,0.0,80.0,20.0
2009,Kolkata Knight Riders,13,3,10,6,7,57.14,42.86,33.33,66.67
2010,Mumbai Indians,16,11,5,22,9,77.78,22.22,45.45,54.55
2010,Chennai Super Kings,16,9,7,18,10,70.0,30.0,88.89,11.11
2010,Deccan Chargers,16,8,8,16,9,55.56,44.44,50.0,50.0
2010,Royal Challengers Bangalore,16,8,8,16,6,16.67,83.33,62.5,37.5
2010,Delhi Daredevils,14,7,7,14,8,62.5,37.5,57.14,42.86
2010,Kolkata Knight Riders,14,7,7,14,7,85.71,14.29,71.43,28.57
2010,Rajasthan Royals,14,6,8,12,6,83.33,16.67,83.33,16.67
2010,Kings XI Punjab,14,4,10,8,5,60.0,40.0,75.0,25.0
2011,Chennai Super Kings,16,11,5,22,9,77.78,22.22,72.73,27.27
2011,Mumbai Indians,16,10,6,20,6,16.67,83.33,20.0,80.0
2011,Royal Challengers Bangalore,16,10,6,20,6,0.0,100.0,20.0,80.0
2011,Kolkata Knight Riders,15,8,7,16,7,14.29,85.71,25.0,75.0
2011,Kings XI Punjab,14,7,7,14,10,30.0,70.0,14.29,85.71
2011,Deccan Chargers,14,6,8,12,6,50.0,50.0,33.33,66.67
